Country,Year,code,Code,GROWTH,TEA,FDI,RGDPPC,LOGRGDPPC,INITIAL,CREDIT,RD,POPULATION,PATENTS,LOGPATENTS,PATENT,LOGPATENT,GCF,UNEMPLOYMENT,TRADE,URBAN,POLSTAB,MOBILE,BROADBAND,TELEPHONE,GOVT,EDUC,INFLATION,RGDPPC2001
Africa Eastern and Southern,2003,,,,,,3311.325909,8.105103965,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2004,,,,,,3412.047479,8.135067824,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2005,,,,,,3535.563277,8.170627908,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2006,,,,,,3675.221934,8.2093688,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2007,,,,,,3822.579518,8.24868074,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2008,,,,,,3892.152786,8.266717699,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2009,,,,,,3824.013482,8.2490558,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2010,,,,,,3921.778029,8.274300409,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2011,,,,,,3983.110618,8.289818355,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2012,,,,,,3990.0803,8.291566635,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2013,,,,,,4048.089185,8.306000243,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2014,,,,,,4108.190054,8.320737834,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2015,,,,,,4129.05512,8.325803875,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2016,,,,,,4125.361392,8.324908905,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2017,,,,,,4135.767937,8.327428307,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2018,,,,,,4142.950313,8.329163449,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2019,,,,,,4130.057222,8.326046541,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2020,,,,,,3919.49923,8.273719177,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2021,,,,,,3994.171654,8.292591491,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2022,,,,,,4038.638689,8.303662956,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,2023,,,,,,4047.007031,8.305732882,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2000,,,,,,3193.502118,8.068873436,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2001,,,,,,3266.631477,8.091514604,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2002,,,,,,3465.036966,8.15047858,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2003,,,,,,3549.73396,8.174627939,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2004,,,,,,3719.207853,8.221265982,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2005,,,,,,3824.095862,8.249077342,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2006,,,,,,3915.981207,8.272821205,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2007,,,,,,4008.773182,8.296240534,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2008,,,,,,4139.436849,8.328315031,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2009,,,,,,4264.667446,8.358119484,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2010,,,,,,4427.472707,8.395584205,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2011,,,,,,4513.117059,8.414743338,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2012,,,,,,4622.827813,8.438761878,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2013,,,,,,4765.675813,8.469194635,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2014,,,,,,4907.922414,8.498605998,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2015,,,,,,4914.572318,8.499960013,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2016,,,,,,4807.016637,8.477831929,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2017,,,,,,4800.643789,8.476505311,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2018,,,,,,4817.203494,8.479948851,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2019,,,,,,4853.281083,8.487410267,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2020,,,,,,4690.062986,8.453201291,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2021,,,,,,4756.308419,8.467227104,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2022,,,,,,4816.956916,8.479897662,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,2023,,,,,,4857.987533,8.488379543,,,,,,,,,,,,,,,,,,,,
Albania,2000,,,,,,6565.112704,8.789524954,,,,,,,,,,,,,,,,,,,,
Albania,2001,,,,,,7176.613374,8.878582876,,,,,,,,,,,,,,,,,,,,
Albania,2002,,,,,,7524.713235,8.925947981,,,,,,,,,,,,,,,,,,,,
Albania,2003,,,,,,7970.493165,8.983501648,,,,,,,,,,,,,,,,,,,,
Albania,2004,,,,,,8445.261138,9.041360751,,,,,,,,,,,,,,,,,,,,
Albania,2005,,,,,,8957.709655,9.100269854,,,,,,,,,,,,,,,,,,,,
Albania,2006,,,,,,9546.493012,9.163929142,,,,,,,,,,,,,,,,,,,,
Albania,2007,,,,,,10194.43535,9.229597296,,,,,,,,,,,,,,,,,,,,
Albania,2008,,,,,,11043.43898,9.309591773,,,,,,,,,,,,,,,,,,,,
Albania,2009,,,,,,11491.045,9.349323315,,,,,,,,,,,,,,,,,,,,
Albania,2010,,,,,,11976.32147,9.390686769,,,,,,,,,,,,,,,,,,,,
Albania,2011,,,,,,12314.25044,9.418512443,,,,,,,,,,,,,,,,,,,,
Albania,2012,,,,,,12509.41565,9.434236892,,,,,,,,,,,,,,,,,,,,
Albania,2013,,,,,,12657.93173,9.446039312,,,,,,,,,,,,,,,,,,,,
Albania,2014,,,,,,12909.2408,9.465698675,,,,,,,,,,,,,,,,,,,,
Albania,2015,,,,,,13234.14406,9.49055544,,,,,,,,,,,,,,,,,,,,
Albania,2016,,,,,,13694.73108,9.524766445,,,,,,,,,,,,,,,,,,,,
Albania,2017,,,,,,14228.56707,9.563006988,,,,,,,,,,,,,,,,,,,,
Albania,2018,,,,,,14837.02493,9.60488102,,,,,,,,,,,,,,,,,,,,
Albania,2019,,,,,,15211.44331,9.629803273,,,,,,,,,,,,,,,,,,,,
Albania,2020,,,,,,14793.85289,9.601967028,,,,,,,,,,,,,,,,,,,,
Albania,2021,,,,,,16261.80455,9.696574358,,,,,,,,,,,,,,,,,,,,
Albania,2022,,,,,,17260.11947,9.756153886,,,,,,,,,,,,,,,,,,,,
Albania,2023,,,,,,18059.93791,9.801451389,,,,,,,,,,,,,,,,,,,,
Algeria,2000,,,,,,11608.90431,9.359527696,,,,,,,,,,,,,,,,,,,,
Algeria,2001,,,,,,11793.77571,9.375327189,,,,,,,,,,,,,,,,,,,,
Algeria,2002,,,,,,12264.09259,9.41443097,,,,,,,,,,,,,,,,,,,,
Algeria,2003,,,,,,12885.57026,9.46386338,,,,,,,,,,,,,,,,,,,,
Algeria,2004,,,,,,13277.25279,9.493807533,,,,,,,,,,,,,,,,,,,,
Algeria,2005,,,,,,13804.62782,9.532759164,,,,,,,,,,,,,,,,,,,,
Algeria,2006,,,,,,14001.71705,9.546935248,,,,,,,,,,,,,,,,,,,,
Algeria,2007,,,,,,14202.67159,9.561185366,,,,,,,,,,,,,,,,,,,,
Algeria,2008,,,,,,14311.06455,9.568788262,,,,,,,,,,,,,,,,,,,,
Algeria,2009,213,DZA,-0.208351663,16.68,1.827421647,14225.02183,9.562757794,9.375327189,16.26580586,,35196037,,,,,46.0669131,10.16,64.28475472,66.826,-1.196913481,92.99292417,2.324125299,7.319474633,43.945606,,5.737060361,11793.77571
Algeria,2010,,,,,,14633.29015,9.591054359,,,,,,,,,,,,,,,,,,,,
Algeria,2011,213,DZA,0.964977574,9.26,1.177673291,14788.85623,9.601629219,9.375327189,13.71592242,,36543541,94,4.543294782,2572.27399,7.852545607,39.75382221,9.96,62.22008996,68.236,-1.360560656,97.46161442,2.683790203,8.371755535,41.17396,5.58009,4.524211505,11793.77571
Algeria,2012,213,DZA,1.410226665,8.75,0.660551954,14852.36995,9.605914724,9.375327189,14.02530668,,37260563,119,4.779123493,3193.725226,8.068943297,40.2823787,10.97,60.75763933,68.915,-1.325043321,100.7169538,3.099115896,8.828001574,43.494144,,8.891450911,11793.77571
Algeria,2013,213,DZA,0.797967812,4.89,0.736559065,14941.76084,9.611915313,9.375327189,16.49789106,,38000626,118,4.770684624,3105.212004,8.04083727,44.58201084,9.82,59.15100816,69.576,-1.202371478,103.9905106,3.368365563,8.244151031,36.648827,,3.25423911,11793.77571
Algeria,2014,,,,,,15249.57045,9.632306614,,,,,,,,,,,,,,,,,,,,
Algeria,2015,,,,,,15425.94052,9.643805821,,,,,,,,,,,,,,,,,,,,
Algeria,2016,,,,,,15711.21733,9.662130216,,,,,,,,,,,,,,,,,,,,
Algeria,2017,,,,,,15637.83854,9.657448804,,,,,,,,,,,,,,,,,,,,
Algeria,2018,,,,,,15557.81641,9.652318454,,,,,,,,,,,,,,,,,,,,
Algeria,2019,,,,,,15411.72322,9.642883747,,,,,,,,,,,,,,,,,,,,
Algeria,2020,,,,,,14389.67027,9.574265886,,,,,,,,,,,,,,,,,,,,
Algeria,2021,,,,,,14690.91623,9.594984638,,,,,,,,,,,,,,,,,,,,
Algeria,2022,,,,,,14973.96626,9.61406839,,,,,,,,,,,,,,,,,,,,
Algeria,2023,,,,,,15347.53242,9.638709986,,,,,,,,,,,,,,,,,,,,
American Samoa,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,2000,,,,,,54467.87389,10.90536634,,,,,,,,,,,,,,,,,,,,
Andorra,2001,,,,,,57394.17838,10.95769816,,,,,,,,,,,,,,,,,,,,
Andorra,2002,,,,,,57438.20107,10.95846488,,,,,,,,,,,,,,,,,,,,
Andorra,2003,,,,,,59848.7888,10.99957647,,,,,,,,,,,,,,,,,,,,
Andorra,2004,,,,,,62172.34847,11.03766562,,,,,,,,,,,,,,,,,,,,
Andorra,2005,,,,,,63153.45313,11.05332281,,,,,,,,,,,,,,,,,,,,
Andorra,2006,,,,,,65864.3918,11.09535324,,,,,,,,,,,,,,,,,,,,
Andorra,2007,,,,,,68644.1164,11.1366907,,,,,,,,,,,,,,,,,,,,
Andorra,2008,,,,,,66629.14934,11.10689744,,,,,,,,,,,,,,,,,,,,
Andorra,2009,,,,,,64978.05432,11.08180487,,,,,,,,,,,,,,,,,,,,
Andorra,2010,,,,,,65772.533,11.0939576,,,,,,,,,,,,,,,,,,,,
Andorra,2011,,,,,,66654.47288,11.10727743,,,,,,,,,,,,,,,,,,,,
Andorra,2012,,,,,,62940.98187,11.04995277,,,,,,,,,,,,,,,,,,,,
Andorra,2013,,,,,,60406.96092,11.00885962,,,,,,,,,,,,,,,,,,,,
Andorra,2014,,,,,,61700.23709,11.03004305,,,,,,,,,,,,,,,,,,,,
Andorra,2015,,,,,,62476.06576,11.04253881,,,,,,,,,,,,,,,,,,,,
Andorra,2016,,,,,,64084.51493,11.06795804,,,,,,,,,,,,,,,,,,,,
Andorra,2017,,,,,,63176.70714,11.05369095,,,,,,,,,,,,,,,,,,,,
Andorra,2018,,,,,,63174.26202,11.05365225,,,,,,,,,,,,,,,,,,,,
Andorra,2019,,,,,,63324.80411,11.05603238,,,,,,,,,,,,,,,,,,,,
Andorra,2020,,,,,,55260.34119,10.91981077,,,,,,,,,,,,,,,,,,,,
Andorra,2021,,,,,,58829.85007,10.98240466,,,,,,,,,,,,,,,,,,,,
Andorra,2022,,,,,,63818.30927,11.06379541,,,,,,,,,,,,,,,,,,,,
Andorra,2023,,,,,,64526.5561,11.07483214,,,,,,,,,,,,,,,,,,,,
Angola,2000,,,,,,5930.050938,8.687788082,,,,,,,,,,,,,,,,,,,,
Angola,2001,,,,,,5979.758245,8.696135419,,,,,,,,,,,,,,,,,,,,
Angola,2002,,,,,,6573.985194,8.790875502,,,,,,,,,,,,,,,,,,,,
Angola,2003,,,,,,6543.34643,8.786204,,,,,,,,,,,,,,,,,,,,
Angola,2004,,,,,,7009.695739,8.855049575,,,,,,,,,,,,,,,,,,,,
Angola,2005,,,,,,7781.432788,8.959495763,,,,,,,,,,,,,,,,,,,,
Angola,2006,,,,,,8373.928138,9.032878365,,,,,,,,,,,,,,,,,,,,
Angola,2007,,,,,,9205.887001,9.12759845,,,,,,,,,,,,,,,,,,,,
Angola,2008,244,AGO,7.163046012,22.71,1.896313897,9865.308923,9.196779733,8.696135419,,,21691522,,,,,30.80405331,16.17,121.3647085,58.282,-0.361787379,31.22582177,0.073494151,0.526915539,52.666008,,12.47582913,5979.758245
Angola,2009,,,,,,9589.347625,9.168408139,,,,,,,,,,,,,,,,,,,,
Angola,2010,244,AGO,0.571220941,31.94,-3.8511115,9644.123987,9.174104096,8.696135419,,,23364185,,,,,28.19731769,16.598,104.1236353,59.783,-0.226182342,40.24692066,0.064200827,1.20321766,39.39449,,14.46965649,5979.758245
Angola,2011,,,,,,9610.845737,9.170647504,,,,,,,,,,,,,,,,,,,,
Angola,2012,244,AGO,4.53805378,32.39,-1.143767779,10046.99109,9.215028475,8.696135419,,,25188292,,,,,26.66757737,16.557,91.80009734,61.268,-0.389322549,50.75814192,0.08143466,0.82715017,37.208874,,10.27790492,5979.758245
Angola,2013,244,AGO,1.106331035,22.23,-5.380130995,10158.14407,9.226031034,8.696135419,,,26147002,,,,,26.14297048,16.487,86.81193276,62.002,-0.391233474,50.80964158,0.085218183,0.822082776,37.049583,,8.777814293,5979.758245
Angola,2014,244,AGO,1.030729118,21.5,2.690005647,10262.84701,9.236285567,8.696135419,,,27128337,,,,,27.5004592,16.401,79.33292278,62.731,-0.333232045,51.80029281,0.323462511,1.059467818,36.456764,3.99069,7.280387304,5979.758245
Angola,2015,,,,,,9991.6025,9.209500269,,,,,,,,,,,,,,,,,,,,
Angola,2016,,,,,,9390.918271,9.14749836,,,,,,,,,,,,,,,,,,,,
Angola,2017,,,,,,9049.962667,9.110515911,,,,,,,,,,,,,,,,,,,,
Angola,2018,244,AGO,-4.676669584,40.84,-8.125891109,8626.725816,9.062620316,8.696135419,14.93527049,,31273533,6,1.791759469,191.855522,5.256742599,17.86942057,16.599,66.37801333,65.514,-0.347750902,42.49094914,0.350331381,0.549531772,20.57876,,19.62893797,5979.758245
Angola,2019,,,,,,8280.180391,9.021620033,,,,,,,,,,,,,,,,,,,,
Angola,2020,244,AGO,-8.672432129,49.6,-3.848263987,7562.087367,8.930902538,8.696135419,13.72462233,,33428486,,,,,26.4904005,16.676,65.94202893,66.825,-0.600726008,43.81009059,0.363510331,0.356474415,23.276728,,22.27153925,5979.758245
Angola,2021,,,,,,7414.278958,8.911163009,,,,,,,,,,,,,,,,,,,,
Angola,2022,,,,,,7407.105292,8.910194993,,,,,,,,,,,,,,,,,,,,
Angola,2023,,,,,,7247.476442,8.88840861,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2000,,,,,,25504.03907,10.14659211,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2001,,,,,,23973.57839,10.0847076,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2002,,,,,,23912.36713,10.08215106,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2003,,,,,,25079.59688,10.12980992,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2004,,,,,,26234.87628,10.17484496,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2005,,,,,,27608.7427,10.22588777,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2006,,,,,,30722.60156,10.33275387,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2007,,,,,,33125.47813,10.408058,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2008,,,,,,32629.50216,10.39297213,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2009,,,,,,28290.06135,10.25026583,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2010,,,,,,25718.77417,10.15497652,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2011,,,,,,24914.39662,10.12320109,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2012,,,,,,25477.11924,10.14553604,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2013,,,,,,25088.56667,10.13016751,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2014,,,,,,25431.02497,10.14372516,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2015,,,,,,25596.32162,10.15020393,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2016,,,,,,26462.41193,10.18348059,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2017,,,,,,26949.11808,10.20170585,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2018,,,,,,28663.45259,10.26337816,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2019,,,,,,29394.62901,10.28856725,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2020,,,,,,23704.04869,10.07340114,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2021,,,,,,25493.12955,10.14616427,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2022,,,,,,27757.17353,10.23124959,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2023,,,,,,28665.59663,10.26345296,,,,,,,,,,,,,,,,,,,,
Arab World,2000,,,,,,12600.09779,9.441459854,,,,,,,,,,,,,,,,,,,,
Arab World,2001,,,,,,12561.10891,9.438360725,,,,,,,,,,,,,,,,,,,,
Arab World,2002,,,,,,12372.05083,9.423195242,,,,,,,,,,,,,,,,,,,,
Arab World,2003,,,,,,12567.10023,9.438837585,,,,,,,,,,,,,,,,,,,,
Arab World,2004,,,,,,13381.81054,9.501651641,,,,,,,,,,,,,,,,,,,,
Arab World,2005,,,,,,13760.56999,9.529562534,,,,,,,,,,,,,,,,,,,,
Arab World,2006,,,,,,14214.85311,9.562042691,,,,,,,,,,,,,,,,,,,,
Arab World,2007,,,,,,14481.21579,9.580607626,,,,,,,,,,,,,,,,,,,,
Arab World,2008,,,,,,14906.14985,9.609529148,,,,,,,,,,,,,,,,,,,,
Arab World,2009,,,,,,14670.88716,9.593620344,,,,,,,,,,,,,,,,,,,,
Arab World,2010,,,,,,15009.14663,9.61641507,,,,,,,,,,,,,,,,,,,,
Arab World,2011,,,,,,15277.92236,9.634164082,,,,,,,,,,,,,,,,,,,,
Arab World,2012,,,,,,15576.34943,9.653508981,,,,,,,,,,,,,,,,,,,,
Arab World,2013,,,,,,15582.3929,9.653896896,,,,,,,,,,,,,,,,,,,,
Arab World,2014,,,,,,15621.79382,9.656422258,,,,,,,,,,,,,,,,,,,,
Arab World,2015,,,,,,15910.03325,9.674705211,,,,,,,,,,,,,,,,,,,,
Arab World,2016,,,,,,16195.88161,9.692512267,,,,,,,,,,,,,,,,,,,,
Arab World,2017,,,,,,16152.60908,9.689836869,,,,,,,,,,,,,,,,,,,,
Arab World,2018,,,,,,16278.61212,9.697607385,,,,,,,,,,,,,,,,,,,,
Arab World,2019,,,,,,16297.67723,9.698777875,,,,,,,,,,,,,,,,,,,,
Arab World,2020,,,,,,15320.10979,9.63692161,,,,,,,,,,,,,,,,,,,,
Arab World,2021,,,,,,15776.98485,9.666307502,,,,,,,,,,,,,,,,,,,,
Arab World,2022,,,,,,16398.33292,9.704934957,,,,,,,,,,,,,,,,,,,,
Arab World,2023,,,,,,16286.10788,9.698067746,,,,,,,,,,,,,,,,,,,,
Argentina,2000,,,,,,22373.03678,10.0156118,,,,,,,,,,,,,,,,,,,,
Argentina,2001,54,ARG,-5.453796978,9.92,0.806164135,21152.85678,9.959530248,9.959530248,20.83357465,0.424609989,37480493,691,6.538139824,18436.25696,9.822074492,15.62596533,17.32,21.85225545,89.329,,17.98746665,0.250797135,21.69511275,26.432499,8.86706,,21152.85678
Argentina,2002,54,ARG,-11.84595039,14.15,2.198958195,18647.09986,9.833445909,9.959530248,15.3318584,0.388859987,37885028,718,6.576469569,18952.07785,9.849668854,10.85390524,19.59,41.75272436,89.51,-0.776545405,17.33333812,0.390655644,20.34726753,21.853054,,,21152.85678
Argentina,2003,54,ARG,7.719229637,19.73,1.294810869,20086.51232,9.90780384,9.959530248,10.76270592,0.410129994,38278164,792,6.674561392,20690.64755,9.937437068,14.1469621,15.36,40.64474803,89.686,-0.359838128,20.48748472,0.676231493,22.47722487,22.025888,9.91522,,21152.85678
Argentina,2004,54,ARG,7.928157051,12.84,2.505017516,21679.00256,9.984099447,9.959530248,9.682518196,0.403759986,38668796,786,6.666956792,20326.46685,9.919679102,17.55127036,13.522,40.69264611,89.86,-0.610934913,34.94389378,1.403920101,22.6553886,23.029531,,,21152.85678
Argentina,2005,54,ARG,7.732496999,9.49,2.649354415,23355.33078,10.05858054,9.959530248,10.65349292,0.420740008,39070501,1054,6.960347729,26976.87445,10.20273528,18.88826414,11.506,40.55127097,90.031,-0.041774943,56.70883514,2.37192249,24.16573312,24.42556,,,21152.85678
Argentina,2006,54,ARG,6.934981738,10.24,2.381068545,24975.01871,10.12563135,9.959530248,11.91026166,0.452160001,39476851,1020,6.927557906,25837.92714,10.15959874,18.68048724,10.078,40.43347987,90.2,0.001967763,79.81991978,4.011751191,23.96288964,26.616661,10.19084,,21152.85678
Argentina,2007,54,ARG,7.916210572,14.43,2.251294236,26952.09378,10.20181626,9.959530248,13.09854135,0.460070014,39876111,937,6.842683282,23497.77791,10.06466114,20.0991132,8.47,40.94517062,90.366,0.097796634,101.3182303,6.520194346,23.82378703,29.550589,,,21152.85678
Argentina,2008,54,ARG,3.029785407,16.54,2.689900965,27768.68438,10.2316642,9.959530248,12.31394671,0.470550001,40273769,801,6.685860947,19888.87606,9.897915862,19.57277588,7.837,40.40267338,90.53,-0.087755688,115.4815533,7.733919813,24.19151036,30.762348,10.40636,,21152.85678
Argentina,2009,54,ARG,-6.867955225,14.68,1.206439226,25861.54357,10.16051234,9.959530248,12.41620754,0.583980024,40684338,640,6.461468176,15730.86921,9.663380253,16.05311236,8.645,34.05712691,90.691,-0.234854579,128.9999606,8.629920438,24.00957096,34.524437,10.54321,,21152.85678
Argentina,2010,54,ARG,9.844296398,14.2,2.675161719,28407.43057,10.25440603,9.959530248,12.69010625,0.561039984,40788453,552,6.313548046,13533.24187,9.512904299,17.70553381,7.714,34.97101326,90.849,-0.084797867,138.8859542,9.801036362,24.12208839,33.35807,10.59964,,21152.85678
Argentina,2011,54,ARG,4.788683139,20.78,2.044659979,29767.77241,10.30118162,9.959530248,14.00871512,0.565970004,41261490,688,6.533788838,16674.14337,9.721614497,18.39845892,7.18,35.206155,90.99,0.158993661,146.2467408,11.01141984,23.41606869,34.9019,10.69979,,21152.85678
